id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name
subfields/1906,Geochemistry and Petrology,"scientific study of the chemical composition of the Earth and other planets, focusing on the processes and conditions that influence the formation, structure, and composition of rocks and minerals",480461,3273900,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/2405,Parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",477617,5447900,domains/1,Life Sciences,fields/24,Immunology and Microbiology
subfields/1904,Earth-Surface Processes,term for the surface of the Earth,462997,3996822,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/1708,Hardware and Architecture,physical components of a computer,454590,4135238,domains/3,Physical Sciences,fields/17,Computer Science
subfields/3404,Small Animals,kingdom of multicellular eukaryotic organisms,453261,3964699,domains/4,Health Sciences,fields/34,Veterinary
subfields/1107,Forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits",443602,1011027,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/3303,Development,detailed developed land,442675,1823188,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2742,Rehabilitation,process to return a person to their formerly existing mental and health condition,439807,4707139,domains/4,Health Sciences,fields/27,Medicine
subfields/2404,Microbiology,study of microscopic organisms,438340,5035952,domains/1,Life Sciences,fields/24,Immunology and Microbiology
subfields/1303,Biochemistry,study of chemical processes in living organisms,430049,5057867,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2508,"Surfaces, Coatings and Films",any adherent layer that covers a surface,421300,5490854,domains/3,Physical Sciences,fields/25,Materials Science
subfields/3609,Occupational Therapy,therapy to increase skills related to work or independent living,413642,1416553,domains/4,Health Sciences,fields/36,Health Professions
subfields/3504,Oral Surgery,medical specialty,405205,4259627,domains/4,Health Sciences,fields/35,Dentistry
subfields/3105,Instrumentation,measuring instruments which monitor and control a process,398156,980149,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/1310,Endocrinology,medical specialty,397099,3505484,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/1709,Human-Computer Interaction,academic discipline,384645,3568375,domains/3,Physical Sciences,fields/17,Computer Science
subfields/3321,Public Administration,"generic term for the administrations that perform tasks of the state, including bodies governed by public law",376614,2894524,domains/2,Social Sciences,fields/33,Social Sciences
subfields/3003,Pharmaceutical Science,"area of study concerned with drugs at every stage, from design to disposition",368754,5393991,domains/1,Life Sciences,fields/30,"Pharmacology, Toxicology and Pharmaceutics"
subfields/2748,Urology,a medical and surgical specialty that focuses on diagnosing and treating disorders of the urinary tract and male reproductive organs,351566,3460997,domains/4,Health Sciences,fields/27,Medicine
subfields/2500,General Materials Science,"research, discovery and design of physical materials (especially solids)",341275,897750,domains/3,Physical Sciences,fields/25,Materials Science
subfields/3611,Pharmacy,"science that studies the chemical, pharmacological and pharmaceutical properties of drugs",330813,1749996,domains/4,Health Sciences,fields/36,Health Professions
subfields/2216,Architecture,"both the process and product of planning, designing and construction",329043,488282,domains/3,Physical Sciences,fields/22,Engineering
subfields/1308,Clinical Biochemistry,study of chemical processes in living organisms,322356,4325380,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2715,Gastroenterology,branch of medicine focused on the digestive system and its disorders,321832,4295525,domains/4,Health Sciences,fields/27,Medicine
subfields/3309,Library and Information Sciences,professional training program merging of the two fields library science and information science,316632,453365,domains/2,Social Sciences,fields/33,Social Sciences
subfields/3506,Periodontics,field of dentistry,307201,3777721,domains/4,Health Sciences,fields/35,Dentistry
subfields/2703,Anesthesiology and Pain Medicine,medical specialty concerned with anesthesia and perioperative care,301387,2979869,domains/4,Health Sciences,fields/27,Medicine
subfields/3202,Applied Psychology,application of psychological theories or findings,301080,4560057,domains/2,Social Sciences,fields/32,Psychology
subfields/2611,Modeling and Simulation,"use of models – physical, mathematical, or otherwise logical representation of a system, entity, phenomenon, or process – as a basis for simulations – methods for implementing a model (either statically or) over time",293595,3236480,domains/3,Physical Sciences,fields/26,Mathematics
subfields/2614,Theoretical Computer Science,subfield of computer science and mathematics,284551,909005,domains/3,Physical Sciences,fields/26,Mathematics
subfields/2723,Immunology and Allergy,branch of medicine studying the immune system,284495,5937918,domains/4,Health Sciences,fields/27,Medicine
subfields/1507,Fluid Flow and Transfer Processes,movement of fluid matter,282023,3771564,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/3614,Radiological and Ultrasound Technology,specialty that uses medical imaging to diagnose and treat diseases seen within the body,273532,2050289,domains/4,Health Sciences,fields/36,Health Professions
subfields/2602,Algebra and Number Theory,part of mathematics in which letters and other symbols are used to represent numbers and quantities in formulae and equation,267245,2017154,domains/3,Physical Sciences,fields/26,Mathematics
subfields/1704,Computer Graphics and Computer-Aided Design,sub-field of computer science,266624,1838217,domains/3,Physical Sciences,fields/17,Computer Science
subfields/2733,Otorhinolaryngology,"surgical subspeciality concerned with ear, nose, and throat conditions",263614,2746757,domains/4,Health Sciences,fields/27,Medicine
subfields/2503,Ceramics and Composites,"inorganic, nonmetallic solid prepared by the action of heat",262414,3307733,domains/3,Physical Sciences,fields/25,Materials Science
subfields/1503,Catalysis,process of increasing the rate of a chemical reaction,260292,5128609,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/2807,Endocrine and Autonomic Systems,medical specialty,253533,6396519,domains/1,Life Sciences,fields/28,Neuroscience
subfields/2706,Critical Care and Intensive Care Medicine,"medical care subspecialty, treating critically ill",250451,2986660,domains/4,Health Sciences,fields/27,Medicine
subfields/1712,Software,non-tangible executable component of a computer,245127,1604635,domains/3,Physical Sciences,fields/17,Computer Science
subfields/1314,Physiology,science regarding function of organisms or living systems,242153,2715943,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2612,Numerical Analysis,study of algorithms that use numerical approximation for the problems of mathematical analysis,241911,3434543,domains/3,Physical Sciences,fields/26,Mathematics
subfields/3505,Orthodontics,"specialty of dentistry that deals with the diagnosis, prevention, and correction of malpositioned teeth and jaws, and misaligned bite patterns",239944,3181825,domains/4,Health Sciences,fields/35,Dentistry
subfields/2406,Virology,study of viruses,238557,4753799,domains/1,Life Sciences,fields/24,Immunology and Microbiology
subfields/1200,General Arts and Humanities,"study of the products of human culture such as art, historical artifacts etc",235074,110459,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/1313,Molecular Medicine,medical specialty and academic discipline,230974,5163535,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2717,Geriatrics and Gerontology,specialty that focuses on health care of elderly people,226707,2939589,domains/4,Health Sciences,fields/27,Medicine
subfields/2702,Anatomy,study of the structure and parts of organisms,225455,421017,domains/4,Health Sciences,fields/27,Medicine
subfields/2809,Sensory Systems,ability to interpret the surrounding environment using light in the visible spectrum,218950,4259222,domains/1,Life Sciences,fields/28,Neuroscience
subfields/2704,Biochemistry,study of chemical processes in living organisms,212904,5560531,domains/4,Health Sciences,fields/27,Medicine
subfields/1315,Structural Biology,study of molecular structures in biology,206029,610772,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/3200,General Psychology,"branch of psychology that studies the mental functions, behaviors, and processes of individuals, exploring concepts such as perception, cognition, emotion, and motivation",194903,1054018,domains/2,Social Sciences,fields/32,Psychology
subfields/3307,Human Factors and Ergonomics,study of designing equipment and devices that fit the human body and its cognitive abilities,178739,675533,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1502,Bioengineering,application of biology and engineering to create useful products,176143,1825272,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/3302,Archeology,study of the past via material culture,173627,265699,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2607,Discrete Mathematics and Combinatorics,study of discrete mathematical structures,168403,1089377,domains/3,Physical Sciences,fields/26,Mathematics
subfields/2102,Energy Engineering and Power Technology,broad field of engineering dealing with energy,168128,1121004,domains/3,Physical Sciences,fields/21,Energy
subfields/2724,Internal Medicine,"medical specialty dealing with the prevention, diagnosis, and treatment of  diseases of internal organs",167474,2040345,domains/4,Health Sciences,fields/27,Medicine
subfields/2910,"Issues, ethics and legal aspects","branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct",165037,480483,domains/4,Health Sciences,fields/29,Nursing
